2022-11-01 06:11:31.3546 [INFO; Root]  cluster food
2022-11-01 06:11:31.4625 [INFO; Root]  cluster food
2022-11-01 06:11:31.5865 [INFO; Root]  cluster food
2022-11-01 06:11:31.6952 [INFO; Root]  cluster food
2022-11-01 06:11:31.8188 [INFO; Root]  cluster food
2022-11-01 06:11:32.2212 [INFO; Root]  OnOverlap
2022-11-01 06:11:32.3919 [INFO; Root]  OnOverlap
2022-11-01 06:11:32.4997 [INFO; Root]  Collision StartedTrue   False
2022-11-01 06:11:32.5153 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.5309 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.5465 [INFO; Root]  OnOverlap
2022-11-01 06:11:32.5465 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.5620 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.5775 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.5930 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.6084 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.6239 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.6556 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.6707 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.6869 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.7019 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.7171 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.7322 [INFO; Root]  Collision Updated
2022-11-01 06:11:32.7478 [INFO; Root]  collision Lost
2022-11-01 06:11:32.7634 [INFO; Root]  OnOverlap
2022-11-01 06:11:32.8100 [INFO; Root]  OnOverlap
2022-11-01 06:11:33.0120 [INFO; Root]  server received request to spawn = 7
2022-11-01 06:11:33.0120 [INFO; Root]  5
2022-11-01 06:11:33.0125 [INFO; Root]  Collision StartedTrue   False
2022-11-01 06:11:33.0275 [INFO; Root]  OnOverlap
2022-11-01 06:11:33.0275 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.0430 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.0585 [INFO; Root]  Collision Updated
